peptide_id,source,length,score,label,avg_ep,max_ep,max_lin_ep
654377,legacy_uniprot_all_2021,26,0.2676776,Epitope,0.2677,0.345,0.2974
654678,legacy_uniprot_all_2021,29,0.21028443,Epitope,0.2103,0.3138,0.2369
654679,legacy_uniprot_all_2021,29,0.19603434,Epitope,0.196,0.3089,0.2382
654682,legacy_uniprot_all_2021,27,0.24534495,Epitope,0.2453,0.3385,0.2815
654683,legacy_uniprot_all_2021,11,0.23194413,Epitope,0.2319,0.3047,0.2664
654684,legacy_uniprot_all_2021,27,0.19190939,Epitope,0.1919,0.2973,0.2105
654687,legacy_uniprot_all_2021,26,0.19641644,Epitope,0.1964,0.2687,0.2262
654688,legacy_uniprot_all_2021,25,0.16029091,Epitope,0.1603,0.2372,0.1749
654693,legacy_uniprot_all_2021,20,0.15750508,Epitope,0.1575,0.23,0.1898
654696,legacy_uniprot_all_2021,29,0.22878195,Epitope,0.2288,0.3147,0.2647
654701,legacy_uniprot_all_2021,23,0.24719094,Epitope,0.2472,0.3361,0.2832
654703,legacy_uniprot_all_2021,29,0.24379596,Epitope,0.2438,0.3364,0.2885
655710,legacy_uniprot_all_2021,26,0.26552013,Epitope,0.2655,0.3304,0.2854
655712,legacy_uniprot_all_2021,27,0.23803166,Epitope,0.238,0.3238,0.2851
655715,legacy_uniprot_all_2021,21,0.24467933,Epitope,0.2447,0.3412,0.273
655717,legacy_uniprot_all_2021,20,0.21433504,Epitope,0.2143,0.2766,0.2357
655718,legacy_uniprot_all_2021,24,0.2485935,Epitope,0.2486,0.3366,0.2882
655720,legacy_uniprot_all_2021,29,0.2984448,Epitope,0.2984,0.3699,0.3296
655721,legacy_uniprot_all_2021,26,0.2845623,Epitope,0.2846,0.3465,0.3197
655724,legacy_uniprot_all_2021,30,0.22130641,Epitope,0.2213,0.3322,0.2796
655726,legacy_uniprot_all_2021,26,0.22629395,Epitope,0.2263,0.3087,0.2525
655727,legacy_uniprot_all_2021,29,0.24743861,Epitope,0.2474,0.3455,0.2836
655735,legacy_uniprot_all_2021,23,0.21444595,Epitope,0.2144,0.3143,0.2534
655736,legacy_uniprot_all_2021,26,0.17565435,Epitope,0.1757,0.322,0.2734
655740,legacy_uniprot_all_2021,29,0.18443102,Epitope,0.1844,0.2807,0.2193
655744,legacy_uniprot_all_2021,24,0.19611363,Epitope,0.1961,0.2984,0.2526
655857,legacy_uniprot_all_2021,27,0.22652718,Epitope,0.2265,0.3137,0.2664
655858,legacy_uniprot_all_2021,15,0.25778094,Epitope,0.2578,0.3354,0.2844
655859,legacy_uniprot_all_2021,24,0.32101822,Epitope,0.321,0.3819,0.3463
655861,legacy_uniprot_all_2021,18,0.23285876,Epitope,0.2329,0.3538,0.2827
655862,legacy_uniprot_all_2021,26,0.19273168,Epitope,0.1927,0.2873,0.245
655863,legacy_uniprot_all_2021,28,0.20242801,Epitope,0.2024,0.2754,0.2273
655864,legacy_uniprot_all_2021,19,0.20684174,Epitope,0.2068,0.2788,0.2313
655865,legacy_uniprot_all_2021,29,0.17154884,Epitope,0.1715,0.2806,0.2416
655866,legacy_uniprot_all_2021,25,0.18982545,Epitope,0.1898,0.2973,0.1998
655867,legacy_uniprot_all_2021,21,0.2706116,Epitope,0.2706,0.3539,0.2927
655868,legacy_uniprot_all_2021,29,0.28817692,Epitope,0.2882,0.363,0.3143
655870,legacy_uniprot_all_2021,17,0.2593071,Epitope,0.2593,0.3408,0.3084
655872,legacy_uniprot_all_2021,11,0.27063274,Epitope,0.2706,0.3274,0.3011
655873,legacy_uniprot_all_2021,28,0.3064389,Epitope,0.3064,0.3663,0.3262
655876,legacy_uniprot_all_2021,29,0.235692,Epitope,0.2357,0.3327,0.2716
657082,legacy_uniprot_all_2021,26,0.2837377,Epitope,0.2837,0.3507,0.3003
657087,legacy_uniprot_all_2021,30,0.19084816,Epitope,0.1908,0.2941,0.2276
657089,legacy_uniprot_all_2021,20,0.22779112,Epitope,0.2278,0.32,0.2589
657091,legacy_uniprot_all_2021,30,0.2393433,Epitope,0.2393,0.3372,0.2861
